Open,High,Low,Close,Volume,Year,Symbol
37.32874806921435,82.77982190999704,29.729982881150573,70.22705078125,4541858019,2014,ADANIENT.NS
70.09708719091958,294.32584365477464,34.78400998030663,44.054466247558594,2756094975,2015,ADANIENT.NS
44.16011403540846,48.62366294476856,30.743043908524783,40.8599739074707,1494318844,2016,ADANIENT.NS
41.52718881536752,90.85990600187975,40.45964735463337,89.25032806396484,3213232453,2017,ADANIENT.NS
88.95523530876943,177.28135485529262,63.71238657624166,159.0100555419922,3629235895,2018,ADANIENT.NS
158.91126099384326,219.40756155739342,111.60331227457806,206.38180541992188,1310157015,2019,ADANIENT.NS
207.02565069538525,505.77147441773974,116.11794747270858,478.38800048828125,1334161093,2020,ADANIENT.NS
475.84416288477144,1785.7135648032404,475.84416288477144,1706.405029296875,1588257907,2021,ADANIENT.NS
1709.9486765130011,4184.260452459323,1526.076912140834,3853.064453125,507265471,2022,ADANIENT.NS
3864.698584649178,3874.6846686364,1016.056240349317,2846.425537109375,1400922884,2023,ADANIENT.NS
2849.772357653715,3740.5822594935785,2023.9965853186013,2527.39697265625,591771312,2024,ADANIENT.NS
2534.7434706468416,2695.0,2025.545846214616,2239.699951171875,295163961,2025,ADANIENT.NS
2249.0,2303.89990234375,1848.0,1961.0,24834218,2026,ADANIENT.NS
145.39856071050187,303.4255490705756,132.65086951941223,301.30072021484375,913630421,2014,ADANIPORTS.NS
301.2535275953217,355.07025715089236,226.1820470550315,247.16604614257812,812070672,2015,ADANIPORTS.NS
247.26073630233472,301.6737390766481,160.24584512985473,255.47105407714844,1185223044,2016,ADANIPORTS.NS
256.755829022087,423.25782687447423,254.091213679009,387.30999755859375,918615677,2017,ADANIPORTS.NS
388.3126077141117,431.8986709019932,282.21892074875086,372.0376281738281,827555749,2018,ADANIPORTS.NS
370.6941586755561,413.20453193852325,280.2996868214534,351.3990173339844,898066496,2019,ADANIPORTS.NS
353.3192657518262,478.5151480007059,197.05562628920427,469.58453369140625,1291729898,2020,ADANIPORTS.NS
470.79791912336145,874.6162858638822,468.4196497441921,713.88134765625,3071795127,2021,ADANIPORTS.NS
715.5431143044502,972.3306790278057,637.2928581711546,805.2474975585938,1493666912,2022,ADANIPORTS.NS
810.0704845841136,1092.3758091377147,388.89290379616364,1015.0354614257812,2218481052,2023,ADANIPORTS.NS
1017.2155328204377,1606.6564095419903,990.8294504575306,1225.139404296875,1151684342,2024,ADANIPORTS.NS
1217.0786679941784,1549.0,1005.8562813251075,1469.800048828125,603380578,2025,ADANIPORTS.NS
1472.800048828125,1496.800048828125,1292.0,1349.0,31632727,2026,ADANIPORTS.NS
900.5734431202145,1200.3101357478072,816.1430025564229,1087.8385009765625,40015698,2014,APOLLOHOSP.NS
1089.0901924924863,1466.0923177385762,1039.7394016436522,1418.2667236328125,53257811,2015,APOLLOHOSP.NS
1410.5783798258426,1494.1392576148598,1079.6992628582311,1146.0391845703125,49018689,2016,APOLLOHOSP.NS
1146.1363348479551,1319.0279513487753,934.788682178368,1176.65283203125,111781706,2017,APOLLOHOSP.NS
1187.5914175706937,1304.6667873471265,888.8378984264365,1234.4718017578125,145758502,2018,APOLLOHOSP.NS
1229.2720654568302,1556.021002290059,1062.5894372108637,1420.3853759765625,176330308,2019,APOLLOHOSP.NS
1418.4151441646693,2490.778696368794,1033.223433030434,2384.82177734375,305785608,2020,APOLLOHOSP.NS
2377.6062249007355,5870.15343596584,2358.1345171985267,4958.2880859375,236672470,2021,APOLLOHOSP.NS
4983.063715263713,5084.97986141983,3324.5969994897014,4440.49609375,167387404,2022,APOLLOHOSP.NS
4450.809534087607,5740.474825861471,4088.834265988079,5674.912109375,110203560,2023,APOLLOHOSP.NS
5711.623456046831,7524.712082556338,5611.140206325897,7276.73095703125,103982170,2024,APOLLOHOSP.NS
7300.31709841415,8099.5,5993.328624607504,7042.5,96484074,2025,APOLLOHOSP.NS
7063.0,7488.0,6696.5,6798.5,7401767,2026,APOLLOHOSP.NS
447.3119483062771,740.199654988536,416.3692098964978,687.8115234375,262969888,2014,ASIANPAINT.NS
686.7145611332712,852.1970265244955,633.5948108126642,814.59521484375,322388837,2015,ASIANPAINT.NS
813.166221633846,1137.5569405799426,761.5365415114501,827.9449462890625,278004893,2016,ASIANPAINT.NS
829.7567690560369,1180.479529791694,819.7680957443321,1086.0987548828125,208358228,2017,ASIANPAINT.NS
1090.317814558799,1404.0474922247777,1021.9736411605727,1296.4271240234375,266998574,2018,ASIANPAINT.NS
1296.5689384351572,1744.9788749148931,1223.535482348358,1697.5692138671875,322230760,2019,ASIANPAINT.NS
1702.5621458013168,2653.2783929055886,1366.605485390127,2646.099609375,592416178,2020,ASIANPAINT.NS
2640.835283916221,3371.4933093180784,2163.2068684439873,3257.9345703125,401470673,2021,ASIANPAINT.NS
3257.9831012651453,3470.3801856179925,2479.6040989359035,2995.241455078125,307082985,2022,ASIANPAINT.NS
2995.2414014890064,3483.9827276550905,2605.2558621308267,3328.08154296875,227466148,2023,ASIANPAINT.NS
3328.6683774458093,3352.875352453206,2232.387264522019,2256.971923828125,326236222,2024,ASIANPAINT.NS
2255.636208472045,2985.699951171875,2102.045288135926,2769.5,300045272,2025,ASIANPAINT.NS
2775.89990234375,2914.5,2648.0,2687.699951171875,17100143,2026,ASIANPAINT.NS
249.37917922323865,490.20575055606474,207.43598340057534,486.3337097167969,1641149429,2014,AXISBANK.NS
486.57565768900594,633.9568882580924,419.1082375032341,438.2340087890625,1787690220,2015,AXISBANK.NS
438.86828364837754,628.680650210844,357.8764564742647,443.1691589355469,2478443215,2016,AXISBANK.NS
444.5973071057011,564.7873768797839,418.0041872202967,560.908447265625,1996688522,2017,AXISBANK.NS
560.7593514612562,674.2936957915098,478.65451668635706,616.5568237304688,2243893815,2018,AXISBANK.NS
618.5459689958061,823.2857423415825,600.3943460000521,750.9644775390625,2430130321,2019,AXISBANK.NS
751.7611465898424,757.5370313018777,284.8107661686673,617.8701782226562,6895725292,2020,AXISBANK.NS
617.6710107903466,863.2954640451875,613.4387402970075,675.7285766601562,3049786471,2021,AXISBANK.NS
677.4214974662981,956.3664868499249,615.6792721701594,931.2828369140625,2468988895,2022,AXISBANK.NS
929.7867896608932,1149.9788617561794,812.1484651209591,1100.5093994140625,2498863296,2023,AXISBANK.NS
1093.221182919986,1338.5060612393027,994.082634977829,1063.790771484375,2411586468,2024,AXISBANK.NS
1063.2413952878649,1304.0,932.7028964179103,1269.4000244140625,1773962662,2025,AXISBANK.NS
1270.0,1333.199951171875,1248.0,1315.699951171875,109330811,2026,AXISBANK.NS
1410.4635004740776,2028.1156373292108,1320.7535698820304,1830.533935546875,75593826,2014,BAJAJ-AUTO.NS
1829.4427049824542,2038.4014915328848,1439.2471702822108,1943.2352294921875,93472850,2015,BAJAJ-AUTO.NS
1941.777313329025,2452.849336215247,1666.9075662858986,2069.35546875,65156026,2016,BAJAJ-AUTO.NS
2077.610476223854,2715.0692543398914,2006.304928023379,2673.842041015625,66023952,2017,BAJAJ-AUTO.NS
2678.975521585468,2781.9232862476765,1980.9515152918616,2226.646728515625,116802843,2018,BAJAJ-AUTO.NS
2238.8029556359133,2752.559463781029,2014.595026016435,2665.522216796875,120882080,2019,BAJAJ-AUTO.NS
2663.8483362926368,3036.9414040737297,1564.140541465006,3011.756591796875,213103477,2020,BAJAJ-AUTO.NS
3013.461652827648,3813.9619575234947,2738.6419298493674,2939.67138671875,144322783,2021,BAJAJ-AUTO.NS
2948.221126468309,3878.4851039063515,2827.2596056524785,3394.396484375,105792769,2022,BAJAJ-AUTO.NS
3395.287908947251,6611.299912107447,3304.2806267541064,6575.79541015625,100452847,2023,BAJAJ-AUTO.NS
6549.433464494265,12458.258373030149,6347.19430180852,8581.1201171875,126287995,2024,BAJAJ-AUTO.NS
8537.67119597237,9490.0,6914.118957712413,9343.0,96916841,2025,BAJAJ-AUTO.NS
9365.0,9888.0,9072.0,9441.0,6016076,2026,BAJAJ-AUTO.NS
14.933116925808134,34.10779776954601,13.975863672712448,33.606204986572266,795594700,2014,BAJFINANCE.NS
33.606207143917196,58.46324171291046,32.7211823147317,58.1723747253418,1278148200,2015,BAJFINANCE.NS
58.23190919879023,115.00713513186713,51.775311844221655,81.81351470947266,3160537250,2016,BAJFINANCE.NS
82.76551152217282,193.41339337916736,81.79408529580274,171.0908203125,2579283770,2017,BAJFINANCE.NS
171.3635151881959,292.0967279539503,147.18078560046007,258.0626525878906,4207609830,2018,BAJFINANCE.NS
258.04804021747844,418.4431751369294,229.75545800385376,413.8693542480469,3925634740,2019,BAJFINANCE.NS
414.1674156407626,526.2704311639374,174.65615928754804,518.6984252929688,16646924490,2020,BAJFINANCE.NS
520.1677749239727,789.8226507550254,427.28553148363966,684.5751342773438,4776209350,2021,BAJFINANCE.NS
