date,adj close,close,high,low,open,volume,india_vix,log_ret_1d,log_ret_2d,log_ret_3d,log_ret_5d,log_ret_10d,log_ret_21d,hl_pct,oc_pct,gap_pct,body_size,rvol_5d,parkinson_5d,rvol_10d,parkinson_10d,rvol_21d,parkinson_21d,vix_zscore_21d,vix_ma_ratio_5_21,sma_10,price_vs_sma_10,sma_20,price_vs_sma_20,sma_50,price_vs_sma_50,sma_200,price_vs_sma_200,macd,rsi_14,tr,atr_14,drawdown_20d,autocorr_1d_20d,month_sin,month_cos,dow_sin,dow_cos,regime_200MA,vol_quartile_63d,target_ret_1d,target_dir_1d,target_quintile_1d
2015-01-02,8395.4501953125,8395.4501953125,8410.599609375,8288.7001953125,8288.7001953125,101900.0,13.800000190734863,,,,,,,,0.0128789795124174,,0.8757220107433015,,,,,,,,,,,,,,,,,0.0,,,,,,0.4999999999999999,0.8660254037844387,-0.9510565162951536,0.3090169943749472,0,,-0.0020329035926431,0.0,
2015-01-05,8378.400390625,8378.400390625,8445.599609375,8363.900390625,8407.9501953125,118200.0,14.149999618530272,-0.0020329035926431,,,,,,0.0097313684018536,-0.0035145075792639,0.0014889016918924,0.3616901744716267,,,,,,,,,,,,,,,,,-1.3600983796295625,,81.69921875,,,,0.4999999999999999,0.8660254037844387,0.0,1.0,0,,-0.0304220829180295,0.0,
2015-01-06,8127.35009765625,8127.35009765625,8327.849609375,8111.35009765625,8325.2998046875,172800.0,17.420000076293945,-0.0304220829180295,-0.0324549865106727,,,,,0.0258401964127904,-0.0237768863194327,-0.0063377952188721,0.9143194155525816,,,,,,,,,,,,,,,,,-22.437006824087803,,267.05029296875,,,,0.4999999999999999,0.8660254037844387,0.9510565162951536,0.3090169943749474,0,,-0.0031116297926513,0.0,
2015-01-07,8102.10009765625,8102.10009765625,8151.2001953125,8065.4501953125,8118.64990234375,164100.0,18.13999938964844,-0.0031116297926513,-0.033533712710681,-0.0355666163033241,,,,0.0105507944126497,-0.0020384922230384,-0.0010704836395578,0.1930006377325946,,,,,,,,,,,,,,,,,-40.70880680964183,,85.75,,,,0.4999999999999999,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0,,0.0162214424605465,1.0,
2015-01-08,8234.599609375,8234.599609375,8243.5,8167.2998046875,8191.39990234375,143800.0,16.469999313354492,0.0162214424605465,0.0131098126678952,-0.0173122702501343,,,,0.009404993075134,0.0052737880638557,0.0110218096062936,0.5669238359352895,,0.1476677499372514,,,,,,,,,,,,,,,-43.99063997392659,,141.39990234375,,,,0.4999999999999999,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0,,0.0060415571776879,1.0,
2015-01-09,8284.5,8284.5,8303.2998046875,8190.7998046875,8285.4501953125,148000.0,15.960000038146973,0.0060415571776879,0.0222629996382344,0.019151369845583,-0.0133036166650896,,,0.0136618664339089,-0.0001146823998818,0.0061752347836811,0.0084461805548047,0.2753616806656328,0.1459927524073031,,,,,,,,,,,,,,,-42.07990100749521,,112.5,,,,0.4999999999999999,0.8660254037844387,-0.9510565162951536,0.3090169943749472,0,,0.0046364677367432,1.0,
2015-01-12,8323.0,8323.0,8332.599609375,8245.599609375,8291.349609375,103200.0,16.110000610351562,0.0046364677367432,0.010678024914431,0.0268994673749777,-0.0066342453357033,,,0.0105015390186492,0.0038172785030332,0.0008267981622306,0.3637975933489888,0.2803452436123572,0.1469650979186801,,,,,,,,,,,,,,,-37.032115196103405,,87.0,,,,0.4999999999999999,0.8660254037844387,0.0,1.0,0,,-0.002839496664365,0.0,
2015-01-13,8299.400390625,8299.400390625,8356.650390625,8267.900390625,8346.150390625,129600.0,16.479999542236328,-0.002839496664365,0.0017969710723782,0.0078385282500661,0.0209483409179612,,,0.0106632223957707,-0.0056013848076009,0.0027814959299531,0.5267605633209285,0.1257775099482906,0.1051586246979839,,,,,,,,,,,,,,,-34.53786876756385,,88.75,,,,0.4999999999999999,0.8660254037844387,0.9510565162951536,0.3090169943749474,0,,-0.0026362628028638,0.0,
2015-01-14,8277.5498046875,8277.5498046875,8326.4501953125,8236.650390625,8307.25,146100.0,17.25,-0.0026362628028638,-0.0054757594672288,-0.0008392917304856,0.0214237079077488,,,0.0108200352388032,-0.003575213856872,0.0009458043961666,0.3307378608733973,0.1240727640779683,0.1056532601139738,,,,,,,,,,,,,,,-33.93315983118737,,89.7998046875,,,,0.4999999999999999,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0,,0.0258307299503242,1.0,
2015-01-15,8494.150390625,8494.150390625,8527.099609375,8380.5498046875,8424.5,232100.0,16.15999984741211,0.0258307299503242,0.0231944671474605,0.0203549704830955,0.0310329953975266,,,0.0177044908391261,0.0082675993382396,0.0177528615085207,0.4752677137220925,0.1857431248931643,0.12271064830573,,0.1357638898587234,,,,,8291.65009765625,0.0244221946878813,,,,,,,-15.794003127259202,,249.5498046875,,,,0.4999999999999999,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0,,0.002310616221134,1.0,
2015-01-16,8513.7998046875,8513.7998046875,8530.75,8452.25,8504.0498046875,176000.0,17.270000457763672,0.002310616221134,0.0281413461714583,0.0255050833685946,0.0273020544409728,0.0139984377758829,,0.0092416541254838,0.001146512570355,0.0011654389912175,0.1242038216402288,0.1878288007595787,0.1150161654951719,0.2323706645162879,0.1314203220218868,,,,,8303.48505859375,0.0253284909420152,,,,,,,0.1650501486365101,,78.5,,,,0.4999999999999999,0.8660254037844387,-0.9510565162951536,0.3090169943749472,0,,0.0043248203159316,1.0,
2015-01-19,8550.7001953125,8550.7001953125,8570.9501953125,8531.5,8550.0498046875,125400.0,17.649999618530273,0.0043248203159316,0.0066354365370658,0.0324661664873901,0.0269904070201613,0.0203561616844578,,0.0046336766446845,7.606863583922379e-05,0.0042577933274918,0.0164863727462727,0.1879279321965899,0.1077640435192185,0.2319322237837695,0.1288639380933612,,,,,8320.7150390625,0.0276400712162729,,,,,,,15.610321908683543,,57.150390625,,,,0.4999999999999999,0.8660254037844387,0.0,1.0,0,,0.016803931894622,1.0,
2015-01-20,8695.599609375,8695.599609375,8707.900390625,8574.5,8575.099609375,158700.0,17.270000457763672,0.016803931894622,0.0211287522105537,0.0234393684316878,0.0466338355791483,0.0675821764971096,,0.0156011072284033,0.0140523148988566,0.0028534989539073,0.9032957057052624,0.1854073053563901,0.1177845455363994,0.1554237820999178,0.1116502026769042,,,,,8377.539990234374,0.0379657536116073,,,,,,,39.09235051303585,,157.2001953125,,,,0.4999999999999999,0.8660254037844387,0.9510565162951536,0.3090169943749474,0,,0.0038909887639506,1.0,
2015-01-21,8729.5,8729.5,8741.849609375,8689.599609375,8719.650390625,185900.0,17.709999084472656,0.0038909887639506,0.0206949206585727,0.0250197409745043,0.0531610871459627,0.0745847950537115,,0.0060087863226438,0.0011295876478705,0.0027658565631368,0.1885092702988499,0.1633534897306688,0.1113064386893668,0.1467032669648637,0.1085166684579396,,,,,8440.27998046875,0.0342666380973759,,,,,,,59.74875906473244,66.5101406373646,52.25,,,,0.4999999999999999,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0,,0.0036476596725423,1.0,
2015-01-22,8761.400390625,8761.400390625,8774.150390625,8727.0,8745.849609375,175500.0,18.56999969482422,0.0036476596725423,0.007538648436493,0.0243425803311149,0.0309780168681808,0.0620110122657073,,0.005401270476545,0.0017780755380621,0.0018729147574316,0.3298123523595278,0.0948934655510703,0.0863359576014355,0.1390528233633912,0.1060938282431391,,,,,8492.96005859375,0.0316073936742025,,,,,,,77.79641790506685,67.53389493346253,47.150390625,0.0130095804067016,,,0.4999999999999999,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0,,0.0084332168549455,1.0,
2015-01-23,8835.599609375,8835.599609375,8866.400390625,8795.400390625,8827.9501953125,191200.0,17.889999389648438,0.0084332168549455,0.0120808765274879,0.0159718652914385,0.0371006175019922,0.064402671942965,,0.0081037273534459,0.000866499458341,0.0075957953889095,0.1077382262172199,0.0888651332113638,0.0841154587737056,0.1394935998137355,0.1007574531484489,,,,,8548.07001953125,0.0336367845825762,,,,,,,96.96877868703632,70.76856261581949,105.0,0.0130886968047186,,,0.4999999999999999,0.8660254037844387,-0.9510565162951536,0.3090169943749472,0,,0.0084413856608369,1.0,
2015-01-27,8910.5,8910.5,8925.0498046875,8825.4501953125,8871.349609375,192000.0,18.09000015258789,0.0084413856608369,0.0168746025157825,0.020522262188325,0.0412171828468975,0.0682075898670588,,0.0112725353997842,0.0044131267900463,0.0040461317375752,0.3930777526813892,0.0845316604074931,0.0947515123809181,0.1394236335116928,0.101466590989555,,,,,8606.82001953125,0.0352836448048892,,,,,,,116.85976170069262,92.35301789643326,99.599609375,0.0116363527592346,,,0.4999999999999999,0.8660254037844387,0.9510565162951536,0.3090169943749474,0,,0.000426350341849,1.0,
2015-01-28,8914.2998046875,8914.2998046875,8985.0498046875,8874.0498046875,8902.75,185100.0,19.770000457763672,0.000426350341849,0.0088677360026861,0.0173009528576316,0.0248396012941246,0.0714734368732727,,0.0124572133999214,0.0012973300033697,-0.0008697603950395,0.1040522944726079,0.0547624329048534,0.0863388362266603,0.1339439707407051,0.1032656617859737,,,,,8668.3099609375,0.0283780627202439,,,,,,,131.41524834799566,94.96731363849834,111.0,0.0118337160518498,,,0.4999999999999999,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0,,0.0042593170470792,1.0,
2015-01-29,8952.349609375,8952.349609375,8966.650390625,8861.25,8901.5,256300.0,19.43000030517578,0.0042593170470792,0.0046856673889282,0.0131270530497653,0.0252079295772533,0.0783690167232159,,0.0118237430795827,0.0057124764786833,-0.0014358732562224,0.4824423236825701,0.0543671031484851,0.0966573696543718,0.12394054547014,0.1042395567963804,,,,,8735.78994140625,0.0247899353603149,,,,,,,144.35682203992292,94.37949997037616,105.400390625,0.0114961885411354,,,0.4999999999999999,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0,,-0.0161534056387028,0.0,
2015-01-30,8808.900390625,8808.900390625,8996.599609375,8775.099609375,8996.599609375,267300.0,20.170000076293945,-0.0161534056387028,-0.0118940885916234,-0.0114677382497744,0.0054068642660081,0.036384881134189,,0.024742107900706,-0.0208633513660434,0.0049428364542042,0.8474005360791241,0.1618470835362427,0.1418141933182419,0.1321929843146373,0.1173992397791837,,,,,8767.26494140625,0.0047489666956581,8529.45751953125,0.032762091897857,,,,,141.40789711718935,79.06233897709333,221.5,0.0125672454417883,-0.0160236390455281,,0.4999999999999999,0.8660254037844387,-0.9510565162951536,0.3090169943749472,0,,-0.0013063506955069,0.0,
2015-02-02,8797.400390625,8797.400390625,8840.7998046875,8751.099609375,8802.5,210100.0,20.40999984741211,-0.0013063506955069,-0.0174597563342097,-0.0132004392871304,-0.0043327032844444,0.0327679142175479,,0.0101829049410031,-0.0005793364811133,-0.000726582245363,0.0568517087021418,0.1481664755685633,0.1443145973087508,0.1344381771717663,0.1181145913955974,,0.1256595159007641,1.7195277807638552,1.1225769603743618,8795.625,0.0002018492858666,8549.555029296875,0.0289892702577889,,,,,136.5686209285268,77.1024230966907,89.7001953125,0.0126055970458247,-0.0173082180110275,0.1228961225178052,0.8660254037844386,0.5000000000000001,0.0,1.0,0,,-0.0046542982322204,0.0,
2015-02-03,8756.5498046875,8756.5498046875,8837.2998046875,8726.650390625,8823.150390625,208700.0,19.809999465942383,-0.0046542982322204,-0.0059606489277274,-0.0221140545664302,-0.0174283871775019,0.0237887956693956,0.0421120537612105,0.0125775125775125,-0.0075483906528745,0.0029270010294678,0.6019063588882793,0.1234428970538475,0.1463666676705073,0.1399227701432489,0.123290410217989,0.1823186551152577,0.1247192497260417,1.313642437366182,1.1238594322996458,8816.2099609375,-0.0067670979382682,8568.4625,0.0219511148805868,,,,,127.9620914645766,75.61204066355272,110.6494140625,0.0128430410087321,-0.0218713313522135,0.0980490160699337,0.8660254037844386,0.5000000000000001,0.9510565162951536,0.3090169943749474,0,,-0.0037584872121479,0.0,
2015-02-04,8723.7001953125,8723.7001953125,8792.849609375,8704.400390625,8789.150390625,195300.0,20.049999237060547,-0.0037584872121479,-0.0084127854443684,-0.0097191361398754,-0.0216132247314989,0.0032263765626257,0.0403864701417056,0.0101009211073808,-0.0074467033107446,0.0037229944058615,0.7399748265735842,0.1185665465117963,0.143081522931188,0.1167171315574037,0.1181666552909113,0.182897308155892,0.1248531942668451,1.420833392478222,1.109431863025468,8819.02001953125,-0.010808437219515,8598.280004882812,0.014586660397017,,,,,117.14034493766847,74.69150347117193,88.44921875,0.0128803438101731,-0.0255407154589959,0.0111781810933758,0.8660254037844386,0.5000000000000001,0.5877852522924732,-0.8090169943749473,0,,-0.0013765100457609,0.0,
2015-02-05,8711.7001953125,8711.7001953125,8838.4501953125,8683.650390625,8733.099609375,173600.0,20.6200008392334,-0.0013765100457609,-0.0051349972579089,-0.0097892954901294,-0.0272490518243392,-0.0020411222470859,0.0694320430139743,0.0177447414768653,-0.0024503801650822,0.001077457254612,0.1382392833396488,0.0977992082209686,0.1536429776447791,0.1151933580055504,0.1283526620060059,0.141067767952977,0.118053305285727,1.598803732329939,1.1132291234198968,8817.2400390625,-0.0119697142509939,8628.760009765625,0.0096120630835725,,,,,106.36957093581624,65.56487301322994,154.7998046875,0.0121212161004416,-0.0268811456838649,0.099776950195382,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475,0,,-0.0058310324086079,0.0,
2015-02-06,8661.0498046875,8661.0498046875,8726.2001953125,8645.5498046875,8696.849609375,171300.0,20.690000534057617,-0.0058310324086079,-0.0072075424543688,-0.0109660296665169,-0.0169266785942444,-0.0115198143282362,0.0667126403980178,0.0092577096108513,-0.004116410688407,-0.0017046713735041,0.4438887946559293,0.031836700032933,0.1178007735642344,0.1161424659235871,0.1303615888190147,0.1429288987131761,0.1175825871780959,1.473514262272343,1.111523332788993,8807.20498046875,-0.0165949556193333,8650.08251953125,0.0012678821423364,,,,,92.67825449207704,60.0876946387524,80.650390625,0.0122098362652026,-0.0325389218917956,0.1006655680874441,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.3090169943749472,0,,-0.0156746171972853,0.0,
2015-02-09,8526.349609375,8526.349609375,8605.5498046875,8516.349609375,8584.400390625,146800.0,22.020000457763672,-0.0156746171972853,-0.0215056496058933,-0.0228821596516543,-0.0312949450960227,-0.035627648380467,0.0348165807401857,0.0102990050079406,-0.0067623571371853,-0.0088498987756675,0.6507920867226754,0.0874912032478605,0.1181526569505918,0.1232664300957816,0.1318839515272255,0.1488352631154978,0.1179927404000671,1.961598700000835,1.1130463868603009,8776.27998046875,-0.0284779395882947,8662.175,-0.0156802870670471,,,,,70.14996244436588,48.5289311114318,144.7001953125,0.0131361675991478,-0.0475852729828477,0.1778823817017683,0.8660254037844386,0.5000000000000001,0.0,1.0,0,,0.0045869991503771,1.0,
2015-02-10,8565.5498046875,8565.5498046875,8646.25,8470.5,8478.099609375,196200.0,21.190000534057617,0.0045869991503771,-0.0110876180469081,-0.0169186504555161,-0.022053647713425,-0.039482034890927,0.033362022712875,0.0206125725605665,0.0103148346140918,-0.0056589281709663,0.4975829035989995,0.1175902107462102,0.136895889226015,0.1139207963007506,0.1417104193274971,0.1483800635306563,0.1222381983697575,1.3634389919857886,1.1129824536879842,8741.7849609375,-0.0201600882471376,8674.302490234375,-0.0125373406875434,,,,,54.82724251801665,40.99315952494562,175.75,0.0132307377939436,-0.0432065124313776,0.1376599220725189,0.8660254037844386,0.5000000000000001,0.9510565162951536,0.3090169943749474,0,,0.0071949086167784,1.0,
2015-02-11,8627.400390625,8627.400390625,8651.9501953125,8593.650390625,8603.2998046875,161600.0,20.5,0.0071949086167784,0.0117819077671557,-0.0038927094301297,-0.0111002518844986,-0.0327134766159975,0.0359204635929102,0.0068063120309679,0.0028013188526068,0.0044071893644633,0.4133905089828453,0.1441335153457941,0.1330916627988128,0.1256605455018229,0.1381769027566853,0.1493040207614571,0.1210918533677665,0.8905848811630527,1.1054737091064453,8713.09501953125,-0.0098351537213995,8690.702490234375,-0.0072838875430963,,,,,47.131400513550034,43.19245523989896,86.400390625,0.0134186257622466,-0.036297646196671,0.1358977428841162,0.8660254037844386,0.5000000000000001,0.5877852522924732,-0.8090169943749473,0,,0.0097064786272237,1.0,
2015-02-12,8711.5498046875,8711.5498046875,8732.5498046875,8599.25,8676.9501953125,158800.0,20.15999984741211,0.0097064786272237,0.0169013872440022,0.0214883863943795,-1.7263211513757773e-05,-0.027266315035853,0.0484664388844993,0.0154507497800091,0.0039875311712278,0.0057433064937317,0.25956234109658,0.1677593593133307,0.1278250255521865,0.1372423334843318,0.1413248062743608,0.1508044715633938,0.1232637019741502,0.6161580021456333,1.0905731733262287,8689.0150390625,0.0025934775718181,8712.402490234375,-9.787031164265604e-05,,,,,47.277558463600144,46.89268699852747,133.2998046875,0.0139953727467811,-0.0268979446954721,0.2670113301093867,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475,0,,0.0107268172689105,1.0,
2015-02-13,8805.5,8805.5,8822.099609375,8729.650390625,8741.5,221900.0,20.100000381469727,0.0107268172689105,0.0204332958961345,0.0276282045129128,0.0165405864660048,-0.0003860921282396,0.0618295189562735,0.0106122585329484,0.0073213979294171,0.003437987038355,0.6922719397569521,0.1726353700135884,0.1295736458430205,0.1297397579457124,0.1238272020789142,0.1523807664238955,0.1231477147438127,0.5101334744393723,1.0767982748195557,8688.675,0.0134456634642221,8727.969970703125,0.0088829395102316,,,,,54.34789655807072,48.16890161793303,110.5498046875,0.0138910682345449,-0.0164034712430374,0.3522399377975377,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.3090169943749472,0,,0.0004370868354434,1.0,
2015-02-16,8809.349609375,8809.349609375,8870.099609375,8793.400390625,8831.400390625,136400.0,20.82999992370605,0.0004370868354434,0.011163904104354,0.020870382731578,0.0326522904987336,0.0013573454027108,0.0364358758413928,0.0087103763272954,-0.0024968612309105,0.0029413878399863,0.2874968168710979,0.0659529145998129,0.1272274270065022,0.1295578222061476,0.12277391524094,0.1277201615965835,0.1191263030018943,0.926319474366786,1.052354953878664,8689.869921875,0.0137493067875773,8742.7474609375,0.0076179883652223,,,,,59.57507733370221,43.26427093500544,76.69921875,0.0136993154436003,-0.0159734601796883,0.3310500046649635,0.8660254037844386,0.5000000000000001,0.0,1.0,0,,0.0067596684272623,1.0,
